subscription_type,plan_type,auto_renew,avg_articles_per_week,days_since_last_login,support_tickets_last_90d,discount_used_last_renewal,email_open_rate,time_spent_per_session_mins,region,most_read_category,completion_rate,article_skips_per_week,primary_device,previous_renewal_status,last_campaign_engaged,campaign_ctr,nps_score,sentiment_score,csat_score,customer_age,signup_source,payment_method,downgrade_history,subscription_status,tenure_days
Digital+Print,Monthly,Yes,2.2,13,1,No,0.33,14.28,North America,Finance,0.8,1,Mobile,Auto,,0.53,-18,-0.02,3,33,Web,Credit Card,No,Active,1289
Digital,Monthly,Yes,0.44,2,1,No,0.03,4.86,Europe,Technology,0.48,0,Mobile,Manual,Retention Offer,0.25,10,1.04,5,20,Web,Credit Card,No,Active,1311
Digital,Annual,No,1.33,29,0,Yes,0.34,5.65,Europe,Technology,0.36,1,Tablet,Auto,,0.26,66,-0.96,4,54,Mobile App,Credit Card,No,Cancelled,730
Digital,Monthly,Yes,4.85,27,1,No,0.8,20.24,North America,Culture,0.36,1,Mobile,Auto,,0.24,-77,0.56,5,49,Mobile App,PayPal,No,Active,520
Espresso,Monthly,Yes,2.77,16,2,Yes,0.9,17.0,Europe,Politics,0.6,0,Desktop,Manual,,0.16,-51,0.49,3,38,Web,Credit Card,No,Active,284
Digital,Monthly,Yes,2.18,2,1,No,0.52,9.87,Asia,Culture,0.96,1,Desktop,Auto,Newsletter Promo,0.3,-64,0.6,1,62,Web,Credit Card,No,Active,377
Digital,Annual,Yes,3.24,15,1,No,0.46,11.03,Asia,Finance,0.45,1,Desktop,Manual,Newsletter Promo,0.18,80,0.54,4,35,Web,Debit Card,No,Active,444
Espresso,Annual,No,3.75,13,1,No,0.03,7.48,Others,Finance,0.48,0,Mobile,Manual,Survey,0.08,-76,0.12,1,65,Web,Credit Card,No,Active,599
Digital+Print,Annual,Yes,4.68,29,3,No,0.88,11.73,Europe,Finance,0.37,3,Mobile,Manual,,0.35,-8,-0.15,1,63,Web,Credit Card,No,Active,138
Digital+Print,Monthly,No,5.17,19,2,No,0.01,7.13,Others,Finance,0.72,0,Mobile,Auto,Retention Offer,0.33,24,-0.31,3,28,Mobile App,PayPal,No,Cancelled,451
Digital,Annual,Yes,2.46,28,0,Yes,0.94,1.87,Asia,Environment,0.78,2,Desktop,Auto,Retention Offer,0.28,-70,0.29,5,67,Web,PayPal,No,Active,442
Digital+Print,Annual,Yes,1.01,12,0,Yes,0.49,4.71,North America,Finance,0.75,1,Desktop,Auto,Survey,0.26,-9,-0.0,1,25,Web,Credit Card,No,Active,914
Digital+Print,Monthly,No,2.38,14,1,Yes,0.34,10.08,North America,Environment,0.9,2,Desktop,Auto,Retention Offer,0.27,-63,-0.11,2,29,Mobile App,PayPal,No,Active,844
Digital,Annual,Yes,3.39,13,1,Yes,0.92,5.48,Europe,Politics,0.64,0,Desktop,Auto,,0.47,26,-0.28,5,68,Web,Credit Card,No,Active,285
Digital,Monthly,No,1.55,23,1,Yes,0.02,9.73,Europe,Technology,0.39,0,Mobile,Auto,Newsletter Promo,0.07,-43,-0.2,4,69,Mobile App,Debit Card,No,Cancelled,1136
Digital,Monthly,Yes,1.56,24,0,No,0.58,5.7,Europe,Culture,0.5,0,Mobile,Manual,,0.07,80,0.39,5,19,Mobile App,PayPal,No,Cancelled,690
Espresso,Monthly,Yes,3.52,18,2,Yes,0.55,6.87,Europe,Technology,0.76,1,Desktop,Auto,,0.66,13,0.01,3,58,Web,Credit Card,No,Active,1667
Digital,Monthly,Yes,2.93,5,1,No,0.22,13.41,Asia,Technology,0.73,0,Mobile,Manual,,0.71,-51,0.6,3,39,Web,Credit Card,No,Active,1422
Digital,Monthly,Yes,3.05,9,1,No,0.43,10.99,Europe,Technology,0.67,1,Mobile,Manual,Retention Offer,0.3,31,-0.68,4,26,Web,Credit Card,Yes,Active,993
Digital,Monthly,Yes,1.86,26,1,No,0.65,9.96,North America,Culture,0.78,0,Mobile,Auto,,0.49,-9,0.31,4,31,Mobile App,PayPal,No,Cancelled,701
Digital,Monthly,No,2.65,14,0,No,0.73,13.52,Asia,Culture,0.75,0,Mobile,Auto,Newsletter Promo,0.2,79,-0.5,4,32,Mobile App,PayPal,No,Active,426
Digital+Print,Annual,No,1.61,20,0,No,0.0,11.92,North America,Politics,0.92,0,Mobile,Auto,Survey,0.53,58,0.6,3,28,Mobile App,Debit Card,No,Cancelled,465
Digital+Print,Monthly,No,4.34,21,2,Yes,0.94,15.79,Others,Culture,0.71,2,Desktop,Manual,,0.11,-23,0.62,5,30,Referral,Credit Card,No,Cancelled,507
Digital+Print,Monthly,No,4.55,19,0,No,0.16,8.16,North America,Finance,0.85,1,Tablet,Auto,,0.29,41,-0.71,1,45,Mobile App,PayPal,No,Cancelled,808
Digital+Print,Monthly,Yes,0.23,25,0,No,0.23,8.28,Others,Politics,0.47,1,Desktop,Auto,Retention Offer,0.2,28,-0.38,1,42,Mobile App,Credit Card,No,Cancelled,348
Digital+Print,Annual,Yes,1.61,5,2,No,0.26,4.8,North America,Culture,0.77,0,Tablet,Auto,,0.02,-58,-0.36,2,54,Web,Credit Card,Yes,Active,1603
Espresso,Monthly,Yes,0.76,22,1,No,0.04,8.28,North America,Finance,0.93,1,Tablet,Manual,Newsletter Promo,0.08,17,0.63,3,23,Web,PayPal,No,Cancelled,168
Digital+Print,Monthly,No,2.02,24,2,No,0.12,13.86,North America,Culture,0.57,0,Desktop,Manual,Newsletter Promo,0.21,-42,-0.3,4,54,Web,Credit Card,No,Cancelled,1775
Digital+Print,Annual,Yes,2.87,9,0,No,0.99,15.2,Asia,Politics,0.85,1,Mobile,Auto,Retention Offer,0.22,-40,0.35,5,50,Mobile App,Credit Card,No,Active,1654
Digital,Monthly,Yes,0.83,6,1,No,0.32,13.84,Asia,Politics,0.81,0,Desktop,Auto,Retention Offer,0.28,-60,-0.33,3,42,Web,PayPal,No,Active,682
Digital,Monthly,No,1.62,21,0,No,0.12,2.82,Europe,Finance,0.34,0,Mobile,Auto,Retention Offer,0.52,-83,0.54,2,67,Mobile App,Credit Card,Yes,Cancelled,1643
Digital,Monthly,Yes,1.49,16,5,Yes,0.11,14.33,Others,Politics,0.71,1,Mobile,Auto,Newsletter Promo,0.15,87,0.59,1,40,Mobile App,Debit Card,No,Cancelled,1086
Digital,Annual,Yes,3.31,17,0,Yes,0.72,2.65,Europe,Culture,0.39,0,Mobile,Manual,,0.21,96,0.83,5,25,Web,Credit Card,No,Active,1330
Digital,Monthly,No,3.1,16,0,No,0.85,13.59,Europe,Politics,0.98,1,Desktop,Manual,Newsletter Promo,0.36,-22,-0.09,1,34,Mobile App,Credit Card,No,Cancelled,93
Espresso,Annual,Yes,1.92,8,1,No,0.26,8.53,Asia,Finance,0.87,1,Mobile,Manual,,0.22,86,0.0,5,48,Web,Credit Card,No,Active,570
Digital+Print,Monthly,Yes,3.27,9,0,No,0.02,12.81,North America,Politics,0.38,0,Mobile,Auto,Retention Offer,0.31,69,-0.07,4,43,Web,Credit Card,No,Active,1005
Espresso,Annual,No,2.18,9,2,Yes,0.22,4.67,North America,Politics,0.39,1,Mobile,Auto,,0.24,63,0.01,5,28,Mobile App,Debit Card,No,Active,470
Digital,Annual,Yes,2.59,24,0,No,0.06,14.68,Others,Culture,0.72,0,Desktop,Auto,,0.54,67,-0.21,4,47,Mobile App,Credit Card,No,Active,1460
Espresso,Annual,Yes,5.51,6,0,No,0.1,4.14,Others,Politics,0.54,1,Desktop,Auto,Survey,0.41,-71,0.53,3,28,Web,Credit Card,Yes,Active,536
Digital+Print,Monthly,Yes,5.01,15,0,Yes,0.43,7.33,Others,Technology,0.32,0,Desktop,Auto,,0.4,1,-0.38,1,20,Web,Credit Card,No,Active,424
Digital+Print,Annual,Yes,1.05,28,0,No,0.23,6.01,Others,Environment,0.68,1,Mobile,Manual,,0.08,-90,-0.07,5,57,Web,PayPal,No,Active,1581
Digital,Monthly,Yes,4.24,17,2,No,0.52,2.98,North America,Technology,0.57,2,Mobile,Auto,,0.15,23,0.1,5,57,Web,Credit Card,Yes,Active,51
Digital,Monthly,Yes,4.22,5,0,No,0.25,10.38,Asia,Culture,0.37,1,Desktop,Manual,Retention Offer,0.51,52,0.25,2,38,Referral,PayPal,No,Active,335
Digital,Monthly,Yes,1.28,26,1,Yes,0.94,17.22,Europe,Politics,0.86,0,Mobile,Auto,,0.31,72,-0.6,1,52,Web,PayPal,No,Cancelled,610
Digital+Print,Annual,No,4.23,19,2,Yes,0.91,20.67,Others,Politics,0.94,2,Desktop,Auto,Retention Offer,0.32,78,-0.12,3,45,Referral,Credit Card,Yes,Active,301
Digital+Print,Annual,Yes,5.31,0,0,Yes,0.57,10.39,Europe,Culture,0.83,0,Desktop,Auto,Newsletter Promo,0.11,70,0.01,4,39,Referral,Debit Card,Yes,Active,849
Digital+Print,Annual,Yes,1.32,0,1,No,0.35,14.47,Europe,Technology,0.88,0,Desktop,Auto,Newsletter Promo,0.06,-35,0.4,3,59,Web,PayPal,No,Active,1596
Digital,Monthly,Yes,1.62,11,1,No,0.38,10.93,Europe,Technology,0.45,3,Tablet,Auto,,0.69,-2,-0.11,2,68,Web,Credit Card,Yes,Active,55
Espresso,Monthly,No,4.53,20,1,Yes,0.41,12.0,North America,Technology,0.48,1,Mobile,Manual,,0.24,74,-0.05,3,63,Mobile App,PayPal,Yes,Cancelled,533
Digital,Annual,Yes,3.41,27,0,Yes,0.73,8.63,North America,Finance,0.45,1,Mobile,Auto,,0.58,-77,0.07,4,35,Web,PayPal,No,Active,1710
Digital+Print,Monthly,No,3.83,1,1,No,0.45,10.78,Asia,Politics,0.84,1,Desktop,Manual,,0.57,-24,0.52,1,40,Mobile App,PayPal,Yes,Active,59
Digital,Monthly,No,3.51,3,1,Yes,0.86,12.15,Asia,Culture,0.96,1,Mobile,Manual,Retention Offer,0.3,64,-1.03,2,43,Web,Credit Card,No,Active,870
Digital+Print,Monthly,No,3.59,16,0,No,0.94,7.69,North America,Technology,0.8,2,Mobile,Auto,,0.09,27,0.05,5,52,Web,PayPal,Yes,Cancelled,1772
Digital+Print,Monthly,Yes,1.01,3,0,No,0.34,9.69,Asia,Finance,0.92,1,Mobile,Manual,,0.19,83,0.58,5,46,Web,Credit Card,No,Active,773
Digital+Print,Monthly,Yes,4.57,10,0,Yes,0.56,9.77,Europe,Culture,0.75,1,Mobile,Auto,Survey,0.47,-7,-0.41,1,69,Web,Credit Card,No,Active,815
Digital,Monthly,Yes,4.75,21,1,No,0.1,13.31,Europe,Finance,0.57,0,Mobile,Manual,,0.19,-14,-0.38,3,63,Mobile App,PayPal,Yes,Active,465
Espresso,Monthly,No,2.66,25,1,Yes,0.2,5.74,North America,Politics,0.6,1,Mobile,Auto,,0.64,23,0.61,5,28,Referral,PayPal,No,Cancelled,394
Digital+Print,Monthly,Yes,2.93,3,0,No,0.41,9.79,Asia,Culture,0.35,1,Desktop,Auto,,0.08,-55,-0.17,2,59,Web,Credit Card,Yes,Active,1439
Digital+Print,Annual,Yes,0.7,0,1,No,0.21,17.65,Asia,Culture,0.32,1,Desktop,Auto,Retention Offer,0.55,55,-0.16,4,63,Web,Credit Card,No,Active,795
Digital,Monthly,Yes,3.77,6,1,Yes,0.88,14.66,Europe,Finance,0.79,0,Desktop,Auto,Retention Offer,0.23,-8,0.14,3,18,Web,PayPal,No,Active,859
Digital+Print,Monthly,No,3.86,29,2,Yes,0.16,15.4,Europe,Politics,0.61,1,Desktop,Manual,Retention Offer,0.33,79,-1.49,4,33,Web,Debit Card,Yes,Cancelled,924
Digital,Monthly,Yes,2.91,17,1,No,0.46,10.1,North America,Politics,0.69,2,Mobile,Manual,Newsletter Promo,0.39,-86,-0.91,3,42,Mobile App,Credit Card,No,Active,1628
Digital,Monthly,Yes,4.69,8,0,No,0.61,11.28,Europe,Technology,0.69,2,Mobile,Manual,,0.32,72,0.29,2,55,Mobile App,Credit Card,No,Active,1741
Digital,Annual,Yes,2.5,28,0,Yes,0.69,14.01,North America,Finance,0.49,2,Mobile,Auto,Survey,0.11,-43,-0.12,4,35,Web,PayPal,No,Active,775
Digital+Print,Annual,No,3.85,2,1,No,0.38,16.24,North America,Culture,0.63,0,Desktop,Auto,Newsletter Promo,0.44,94,-0.08,2,33,Mobile App,Credit Card,No,Active,1139
Digital,Monthly,No,1.47,7,1,Yes,0.87,2.19,Europe,Environment,0.63,0,Desktop,Auto,,0.46,-29,-0.33,4,36,Mobile App,Credit Card,No,Cancelled,1257
Digital,Monthly,Yes,2.96,28,0,Yes,0.57,4.74,Others,Culture,0.57,0,Mobile,Auto,,0.33,-3,-0.14,3,33,Web,PayPal,No,Active,1488
Espresso,Annual,Yes,2.74,23,4,No,0.44,15.24,Europe,Finance,0.87,2,Mobile,Auto,Newsletter Promo,0.07,-28,0.6,2,22,Mobile App,Credit Card,No,Active,185
Digital,Annual,Yes,3.34,18,0,No,0.07,8.89,North America,Culture,0.62,2,Tablet,Auto,Retention Offer,0.3,-20,0.07,3,44,Web,Credit Card,No,Active,1106
Digital+Print,Monthly,Yes,2.45,3,1,No,0.46,7.31,Europe,Finance,0.72,3,Desktop,Auto,,0.2,68,0.53,3,61,Mobile App,PayPal,No,Active,485
Digital,Monthly,No,2.8,17,2,Yes,0.82,4.98,Asia,Politics,0.93,1,Desktop,Auto,,0.09,-36,-0.08,4,23,Web,Credit Card,No,Cancelled,558
Digital+Print,Monthly,Yes,4.24,19,0,No,0.61,7.78,Asia,Politics,0.91,2,Mobile,Auto,Survey,0.17,67,0.01,4,51,Web,Credit Card,No,Active,450
Digital+Print,Annual,Yes,2.34,26,2,No,0.83,4.39,Asia,Finance,0.92,2,Mobile,Auto,Newsletter Promo,0.58,-96,0.16,2,33,Mobile App,Credit Card,No,Active,43
Digital+Print,Monthly,Yes,0.59,10,0,No,0.49,18.36,Europe,Environment,0.49,1,Desktop,Manual,,0.3,-73,0.26,5,40,Mobile App,Credit Card,Yes,Active,904
Digital+Print,Annual,Yes,5.62,26,3,No,0.12,9.91,Asia,Politics,0.32,1,Desktop,Auto,Newsletter Promo,0.38,-63,-0.42,1,60,Mobile App,Credit Card,Yes,Active,1395
Digital,Monthly,Yes,5.07,13,0,No,0.01,9.77,North America,Politics,0.48,1,Desktop,Manual,,0.36,-20,-0.01,4,61,Web,Credit Card,No,Active,167
Digital,Monthly,No,1.06,24,2,No,0.3,12.35,North America,Environment,0.5,0,Desktop,Auto,,0.23,-14,-0.34,3,49,Mobile App,PayPal,No,Cancelled,131
Digital,Monthly,Yes,4.03,17,3,Yes,0.7,13.85,North America,Politics,0.94,0,Desktop,Manual,Retention Offer,0.16,45,0.75,1,60,Web,PayPal,No,Cancelled,1643
Digital,Monthly,No,2.25,27,2,Yes,0.79,13.78,Europe,Culture,0.75,3,Desktop,Auto,Retention Offer,0.21,-64,-0.86,2,40,Mobile App,Credit Card,No,Cancelled,673
Digital,Monthly,Yes,3.4,27,0,Yes,0.3,14.29,Others,Finance,0.36,1,Mobile,Auto,Retention Offer,0.38,54,0.29,1,37,Mobile App,Credit Card,No,Active,538
Digital,Monthly,Yes,3.44,28,1,No,0.5,7.48,Asia,Politics,0.39,1,Mobile,Auto,Newsletter Promo,0.63,-76,-0.39,1,36,Web,Credit Card,No,Active,1359
Digital+Print,Monthly,Yes,2.65,15,1,No,0.42,8.81,North America,Environment,0.41,2,Desktop,Manual,,0.09,96,-0.57,5,46,Web,PayPal,No,Active,1387
Digital+Print,Annual,Yes,1.82,2,0,Yes,0.41,13.08,North America,Politics,0.74,0,Mobile,Auto,Retention Offer,0.17,-18,-0.15,5,25,Mobile App,Credit Card,No,Active,1377
Digital,Monthly,Yes,1.96,14,1,No,0.23,7.89,North America,Technology,0.81,1,Desktop,Auto,,0.33,-74,0.65,1,46,Mobile App,PayPal,No,Active,155
Digital,Monthly,Yes,1.63,26,2,Yes,0.14,9.98,North America,Politics,0.9,0,Desktop,Manual,Newsletter Promo,0.28,-24,-0.32,5,35,Referral,Credit Card,No,Cancelled,1057
Digital,Annual,Yes,1.75,26,0,Yes,0.2,11.6,Europe,Politics,0.96,0,Tablet,Auto,,0.49,81,-0.9,5,22,Web,Debit Card,No,Cancelled,52
Digital,Annual,No,2.9,3,1,No,0.06,13.14,Others,Politics,0.44,2,Mobile,Auto,,0.3,34,-0.47,1,29,Mobile App,Credit Card,No,Active,1139
Digital+Print,Annual,Yes,1.93,4,0,Yes,0.2,2.89,Others,Politics,0.52,0,Mobile,Auto,,0.41,-11,0.06,4,27,Mobile App,PayPal,No,Active,1144
Digital,Annual,Yes,4.02,16,3,Yes,0.01,12.86,Europe,Politics,0.47,1,Desktop,Auto,,0.5,-74,-0.81,5,64,Mobile App,PayPal,No,Active,313
Digital,Monthly,Yes,5.23,6,2,No,0.63,9.07,Asia,Culture,0.55,0,Desktop,Auto,Newsletter Promo,0.35,21,0.36,1,54,Mobile App,Credit Card,No,Active,639
Digital,Monthly,Yes,2.13,15,1,No,0.32,12.83,Europe,Finance,0.94,0,Desktop,Auto,,0.45,-42,-0.79,4,34,Web,PayPal,Yes,Active,804
Digital,Annual,Yes,3.36,13,1,No,0.97,13.11,North America,Finance,0.7,4,Mobile,Manual,Retention Offer,0.59,-29,-0.24,5,49,Mobile App,PayPal,No,Active,636
Digital,Monthly,No,3.75,25,0,No,0.19,16.43,Europe,Finance,0.82,0,Mobile,Manual,Newsletter Promo,0.2,58,0.41,1,21,Mobile App,PayPal,No,Cancelled,198
Digital,Monthly,Yes,3.71,15,0,No,0.35,15.41,Europe,Environment,0.64,0,Desktop,Auto,Retention Offer,0.39,-10,-0.25,5,48,Web,PayPal,No,Active,1187
Digital,Annual,No,3.11,6,0,No,0.36,15.39,Asia,Environment,0.32,0,Desktop,Auto,,0.06,-33,-0.67,4,43,Web,Credit Card,Yes,Active,254
Digital,Monthly,No,4.11,8,1,Yes,0.01,15.77,North America,Technology,0.34,3,Desktop,Manual,,0.17,5,-0.05,1,29,Mobile App,Credit Card,No,Active,184
Digital,Monthly,No,3.72,3,2,No,0.84,11.17,North America,Culture,0.68,2,Mobile,Manual,,0.43,-97,-0.25,4,35,Web,Credit Card,No,Active,1303
Digital,Monthly,Yes,1.14,29,0,No,0.03,10.13,North America,Finance,0.8,1,Mobile,Manual,Newsletter Promo,0.51,45,0.61,3,25,Web,PayPal,Yes,Cancelled,772
Digital+Print,Monthly,Yes,4.3,29,2,Yes,0.94,13.49,Others,Finance,0.45,0,Mobile,Auto,Retention Offer,0.11,-38,0.41,2,49,Mobile App,Credit Card,No,Active,1000
Digital,Monthly,No,4.33,21,3,No,0.89,12.93,Europe,Technology,0.81,2,Tablet,Manual,Survey,0.31,-14,0.25,3,37,Web,PayPal,No,Cancelled,273
Digital,Monthly,Yes,1.86,10,1,Yes,0.54,8.76,Asia,Technology,0.87,0,Desktop,Manual,,0.73,79,0.01,5,66,Web,Credit Card,No,Cancelled,453
Digital,Annual,Yes,3.06,1,1,No,0.54,11.62,Asia,Finance,0.59,3,Mobile,Auto,Newsletter Promo,0.42,10,-0.11,4,57,Mobile App,Credit Card,Yes,Active,1783
Espresso,Monthly,No,4.02,11,0,No,0.65,9.86,North America,Finance,0.82,0,Mobile,Auto,,0.06,90,-0.11,1,30,Web,Credit Card,No,Active,1679
Digital,Monthly,Yes,2.69,11,2,No,0.39,6.58,Europe,Environment,0.58,0,Desktop,Auto,Retention Offer,0.42,72,-0.85,4,40,Mobile App,Credit Card,No,Active,1521
Espresso,Annual,Yes,4.61,29,2,Yes,0.65,15.16,Asia,Culture,0.77,0,Mobile,Auto,Retention Offer,0.11,39,0.0,5,20,Web,Credit Card,No,Active,687
Digital,Annual,Yes,6.55,3,1,No,0.04,10.22,Europe,Finance,0.83,0,Desktop,Manual,Newsletter Promo,0.26,35,-0.4,1,52,Mobile App,Credit Card,No,Active,1610
Espresso,Annual,Yes,1.82,17,2,Yes,0.05,18.19,Others,Technology,0.99,0,Desktop,Manual,Newsletter Promo,0.18,-79,-0.04,3,56,Web,Credit Card,No,Cancelled,1018
Digital,Annual,Yes,0.93,25,1,No,0.46,3.5,North America,Politics,0.54,1,Mobile,Manual,Newsletter Promo,0.12,-10,0.03,4,67,Web,PayPal,Yes,Active,1787
Digital,Monthly,Yes,3.46,20,2,No,0.55,7.77,North America,Politics,0.59,1,Mobile,Manual,,0.17,68,-0.24,2,38,Mobile App,Credit Card,Yes,Active,532
Digital+Print,Monthly,Yes,4.08,6,0,No,0.89,10.13,Asia,Finance,0.42,1,Desktop,Auto,,0.23,15,0.47,5,24,Web,Credit Card,No,Active,1764
Digital,Monthly,Yes,2.65,28,0,Yes,0.1,14.55,Asia,Finance,0.44,1,Mobile,Auto,,0.33,-60,-0.54,5,43,Mobile App,PayPal,No,Active,788
Espresso,Monthly,No,5.18,0,0,Yes,0.82,11.6,Others,Politics,0.79,3,Mobile,Manual,,0.31,-20,-0.25,4,40,Mobile App,Credit Card,Yes,Active,910
Digital,Monthly,Yes,0.99,25,0,No,0.21,11.24,Europe,Culture,0.94,2,Tablet,Auto,Survey,0.42,22,-0.16,3,49,Mobile App,Credit Card,No,Cancelled,829
Digital,Monthly,Yes,4.04,25,2,No,0.39,5.49,Others,Finance,0.58,2,Desktop,Auto,Retention Offer,0.39,-44,0.58,3,19,Web,Credit Card,No,Active,663
Digital+Print,Annual,No,2.09,22,2,No,0.32,5.37,Asia,Technology,0.43,3,Desktop,Auto,,0.34,59,0.02,2,56,Mobile App,Credit Card,No,Active,1490
Digital,Monthly,No,5.58,25,2,No,0.4,11.29,Asia,Politics,0.5,2,Mobile,Auto,,0.05,26,-0.01,2,19,Web,Credit Card,No,Cancelled,1190
Digital+Print,Monthly,Yes,5.99,12,0,No,0.15,4.54,Europe,Politics,0.62,1,Mobile,Auto,Retention Offer,0.3,-6,0.44,4,56,Web,Credit Card,No,Active,1084
Digital,Monthly,Yes,1.85,5,1,Yes,0.5,7.87,North America,Culture,0.5,0,Mobile,Auto,Newsletter Promo,0.14,-46,-0.26,1,63,Web,Credit Card,Yes,Cancelled,717
Digital,Monthly,Yes,2.18,5,0,Yes,0.8,12.0,Others,Technology,0.46,0,Mobile,Auto,,0.28,-95,0.44,3,32,Mobile App,Credit Card,No,Active,1716
Digital,Monthly,Yes,4.29,11,1,No,0.44,6.07,Europe,Environment,0.82,0,Desktop,Manual,,0.1,66,0.2,1,33,Mobile App,Credit Card,Yes,Active,379
Digital+Print,Annual,No,2.42,7,1,No,0.49,16.42,Europe,Environment,0.31,0,Mobile,Manual,Newsletter Promo,0.4,-92,0.62,1,43,Web,Credit Card,No,Active,256
Digital,Monthly,Yes,2.93,23,1,Yes,0.85,14.9,Europe,Finance,0.68,1,Desktop,Manual,,0.54,-69,-0.19,4,25,Mobile App,Credit Card,No,Active,853
Espresso,Monthly,No,3.04,21,4,Yes,0.71,3.71,Europe,Politics,0.86,2,Mobile,Auto,,0.09,63,-0.15,2,33,Mobile App,Credit Card,No,Cancelled,800
Digital,Monthly,Yes,0.12,18,0,No,0.49,6.27,Europe,Culture,0.49,0,Mobile,Manual,Newsletter Promo,0.32,27,0.07,1,38,Web,PayPal,No,Cancelled,225
Digital,Annual,Yes,2.98,4,2,No,0.26,0.86,North America,Environment,0.72,3,Tablet,Manual,,0.42,-85,-0.03,4,56,Mobile App,PayPal,No,Active,1376
Digital+Print,Monthly,Yes,1.97,17,1,No,0.88,6.87,Asia,Technology,0.77,5,Mobile,Auto,,0.35,39,0.38,2,28,Web,PayPal,Yes,Cancelled,401
Digital,Monthly,Yes,2.26,29,0,No,0.58,13.07,Europe,Culture,0.76,2,Mobile,Manual,,0.09,-60,-0.11,1,41,Mobile App,PayPal,No,Active,856
Digital,Monthly,Yes,5.17,4,1,No,0.22,8.34,Europe,Culture,0.61,0,Mobile,Auto,Survey,0.2,94,-0.53,1,53,Mobile App,PayPal,No,Active,1443
Digital,Monthly,Yes,1.12,29,1,No,0.27,11.84,North America,Finance,0.54,1,Mobile,Manual,Retention Offer,0.2,85,0.68,2,35,Web,Credit Card,No,Cancelled,1288
Digital,Annual,Yes,4.22,24,0,Yes,0.8,3.91,North America,Technology,0.89,0,Mobile,Auto,Retention Offer,0.43,36,0.96,2,40,Mobile App,Credit Card,No,Active,1714
Digital,Annual,Yes,2.58,9,1,No,0.04,13.19,North America,Culture,0.83,0,Mobile,Auto,Newsletter Promo,0.3,24,-0.78,5,30,Web,Credit Card,No,Active,83
