customer_id,subscription_type,plan_type,auto_renew,avg_articles_per_week,days_since_last_login,support_tickets_last_90d,discount_used_last_renewal,email_open_rate,time_spent_per_session_mins,region,most_read_category,completion_rate,article_skips_per_week,primary_device,previous_renewal_status,last_campaign_engaged,campaign_ctr,nps_score,sentiment_score,subscription_start_date,subscription_end_date,csat_score,customer_age,gender,signup_source,payment_method,downgrade_history,subscription_status
62,Digital+Print,Annual,Yes,5.31,0,0,Yes,0.57,10.39,Europe,Culture,0.83,0,Desktop,Auto,Newsletter Promo,0.11,70,0.01,2024-09-30 05:54:16.425652,2025-09-30 05:54:16.425652,4,39,Female,Referral,Debit Card,Yes,Active
63,Digital+Print,Annual,Yes,1.32,0,1,No,0.35,14.47,Europe,Technology,0.88,0,Desktop,Auto,Newsletter Promo,0.06,-35,0.4,2024-04-22 05:54:16.425656,2025-04-22 05:54:16.425656,3,59,Male,Web,PayPal,No,Active
64,Digital,Monthly,Yes,1.62,11,1,No,0.38,10.93,Europe,Technology,0.45,3,Tablet,Auto,None,0.69,-2,-0.11,2023-07-07 05:54:16.425660,2024-07-06 05:54:16.425660,2,68,Female,Web,Credit Card,Yes,Active
65,Espresso,Monthly,No,4.53,20,1,Yes,0.41,12.0,North America,Technology,0.48,1,Mobile,Manual,None,0.24,74,-0.05,2023-09-10 05:54:16.425664,2024-09-09 05:54:16.425664,3,63,Female,Mobile App,PayPal,Yes,Cancelled
66,Digital,Annual,Yes,3.41,27,0,Yes,0.73,8.63,North America,Finance,0.45,1,Mobile,Auto,None,0.58,-77,0.07,2023-06-27 05:54:16.425669,2024-06-26 05:54:16.425669,4,35,Female,Web,PayPal,No,Active
67,Digital+Print,Monthly,No,3.83,1,1,No,0.45,10.78,Asia,Politics,0.84,1,Desktop,Manual,None,0.57,-24,0.52,2025-03-13 05:54:16.425673,2026-03-13 05:54:16.425673,1,40,Male,Mobile App,PayPal,Yes,Active
68,Digital,Monthly,No,3.51,3,1,Yes,0.86,12.15,Asia,Culture,0.96,1,Mobile,Manual,Retention Offer,0.3,64,-1.03,2023-06-25 05:54:16.425677,2024-06-24 05:54:16.425677,2,43,Female,Web,Credit Card,No,Active
69,Digital+Print,Monthly,No,3.59,16,0,No,0.94,7.69,North America,Technology,0.8,2,Mobile,Auto,None,0.09,27,0.05,2023-12-17 05:54:16.425681,2024-12-16 05:54:16.425681,5,52,Female,Web,PayPal,Yes,Cancelled
70,Digital+Print,Monthly,Yes,1.01,3,0,No,0.34,9.69,Asia,Finance,0.92,1,Mobile,Manual,None,0.19,83,0.58,2024-11-25 05:54:16.425686,2025-11-25 05:54:16.425686,5,46,Male,Web,Credit Card,No,Active
71,Digital+Print,Monthly,Yes,4.57,10,0,Yes,0.56,9.77,Europe,Culture,0.75,1,Mobile,Auto,Survey,0.47,-7,-0.41,2024-09-11 05:54:16.425690,2025-09-11 05:54:16.425690,1,69,Other,Web,Credit Card,No,Active
72,Digital,Monthly,Yes,4.75,21,1,No,0.1,13.31,Europe,Finance,0.57,0,Mobile,Manual,None,0.19,-14,-0.38,2024-07-03 05:54:16.425694,2025-07-03 05:54:16.425694,3,63,Female,Mobile App,PayPal,Yes,Active
73,Espresso,Monthly,No,2.66,25,1,Yes,0.2,5.74,North America,Politics,0.6,1,Mobile,Auto,None,0.64,23,0.61,2024-11-22 05:54:16.425698,2025-11-22 05:54:16.425698,5,28,Male,Referral,PayPal,No,Cancelled
74,Digital+Print,Monthly,Yes,2.93,3,0,No,0.41,9.79,Asia,Culture,0.35,1,Desktop,Auto,None,0.08,-55,-0.17,2023-06-26 05:54:16.425702,2024-06-25 05:54:16.425702,2,59,Female,Web,Credit Card,Yes,Active
75,Digital+Print,Annual,Yes,0.7,0,1,No,0.21,17.65,Asia,Culture,0.32,1,Desktop,Auto,Retention Offer,0.55,55,-0.16,2022-10-19 05:54:16.425733,2023-10-19 05:54:16.425733,4,63,Female,Web,Credit Card,No,Active
76,Digital,Monthly,Yes,3.77,6,1,Yes,0.88,14.66,Europe,Finance,0.79,0,Desktop,Auto,Retention Offer,0.23,-8,0.14,2024-08-25 05:54:16.425737,2025-08-25 05:54:16.425737,3,18,Female,Web,PayPal,No,Active
77,Digital+Print,Monthly,No,3.86,29,2,Yes,0.16,15.4,Europe,Politics,0.61,1,Desktop,Manual,Retention Offer,0.33,79,-1.49,2023-10-09 05:54:16.425742,2024-10-08 05:54:16.425742,4,33,Female,Web,Debit Card,Yes,Cancelled
78,Digital,Monthly,Yes,2.91,17,1,No,0.46,10.1,North America,Politics,0.69,2,Mobile,Manual,Newsletter Promo,0.39,-86,-0.91,2024-11-29 05:54:16.425747,2025-11-29 05:54:16.425747,3,42,Male,Mobile App,Credit Card,No,Active
79,Digital,Monthly,Yes,4.69,8,0,No,0.61,11.28,Europe,Technology,0.69,2,Mobile,Manual,None,0.32,72,0.29,2024-07-04 05:54:16.425751,2025-07-04 05:54:16.425751,2,55,Male,Mobile App,Credit Card,No,Active
80,Digital,Annual,Yes,2.5,28,0,Yes,0.69,14.01,North America,Finance,0.49,2,Mobile,Auto,Survey,0.11,-43,-0.12,2025-03-06 05:54:16.425755,2026-03-06 05:54:16.425755,4,35,Male,Web,PayPal,No,Active
81,Digital+Print,Annual,No,3.85,2,1,No,0.38,16.24,North America,Culture,0.63,0,Desktop,Auto,Newsletter Promo,0.44,94,-0.08,2024-09-18 05:54:16.425759,2025-09-18 05:54:16.425759,2,33,Male,Mobile App,Credit Card,No,Active
82,Digital,Monthly,No,1.47,7,1,Yes,0.87,2.19,Europe,Environment,0.63,0,Desktop,Auto,None,0.46,-29,-0.33,2023-03-25 05:54:16.425764,2024-03-24 05:54:16.425764,4,36,Female,Mobile App,Credit Card,No,Cancelled
83,Digital,Monthly,Yes,2.96,28,0,Yes,0.57,4.74,Others,Culture,0.57,0,Mobile,Auto,None,0.33,-3,-0.14,2023-09-27 05:54:16.425768,2024-09-26 05:54:16.425768,3,33,Male,Web,PayPal,No,Active
84,Espresso,Annual,Yes,2.74,23,4,No,0.44,15.24,Europe,Finance,0.87,2,Mobile,Auto,Newsletter Promo,0.07,-28,0.6,2023-10-12 05:54:16.425772,2024-10-11 05:54:16.425772,2,22,Male,Mobile App,Credit Card,No,Active
85,Digital,Annual,Yes,3.34,18,0,No,0.07,8.89,North America,Culture,0.62,2,Tablet,Auto,Retention Offer,0.3,-20,0.07,2024-01-18 05:54:16.425777,2025-01-17 05:54:16.425777,3,44,Female,Web,Credit Card,No,Active
86,Digital+Print,Monthly,Yes,2.45,3,1,No,0.46,7.31,Europe,Finance,0.72,3,Desktop,Auto,None,0.2,68,0.53,2023-04-03 05:54:16.425781,2024-04-02 05:54:16.425781,3,61,Male,Mobile App,PayPal,No,Active
87,Digital,Monthly,No,2.8,17,2,Yes,0.82,4.98,Asia,Politics,0.93,1,Desktop,Auto,None,0.09,-36,-0.08,2023-12-30 05:54:16.425785,2024-12-29 05:54:16.425785,4,23,Male,Web,Credit Card,No,Cancelled
88,Digital+Print,Monthly,Yes,4.24,19,0,No,0.61,7.78,Asia,Politics,0.91,2,Mobile,Auto,Survey,0.17,67,0.01,2023-10-25 05:54:16.425789,2024-10-24 05:54:16.425789,4,51,Female,Web,Credit Card,No,Active
89,Digital+Print,Annual,Yes,2.34,26,2,No,0.83,4.39,Asia,Finance,0.92,2,Mobile,Auto,Newsletter Promo,0.58,-96,0.16,2024-02-10 05:54:16.425793,2025-02-09 05:54:16.425793,2,33,Male,Mobile App,Credit Card,No,Active
90,Digital+Print,Monthly,Yes,0.59,10,0,No,0.49,18.36,Europe,Environment,0.49,1,Desktop,Manual,None,0.3,-73,0.26,2022-12-27 05:54:16.425797,2023-12-27 05:54:16.425797,5,40,Female,Mobile App,Credit Card,Yes,Active
91,Digital+Print,Annual,Yes,5.62,26,3,No,0.12,9.91,Asia,Politics,0.32,1,Desktop,Auto,Newsletter Promo,0.38,-63,-0.42,2022-11-06 05:54:16.425801,2023-11-06 05:54:16.425801,1,60,Female,Mobile App,Credit Card,Yes,Active
92,Digital,Monthly,Yes,5.07,13,0,No,0.01,9.77,North America,Politics,0.48,1,Desktop,Manual,None,0.36,-20,-0.01,2022-12-18 05:54:16.425805,2023-12-18 05:54:16.425805,4,61,Female,Web,Credit Card,No,Active
93,Digital,Monthly,No,1.06,24,2,No,0.3,12.35,North America,Environment,0.5,0,Desktop,Auto,None,0.23,-14,-0.34,2024-12-12 05:54:16.425809,2025-12-12 05:54:16.425809,3,49,Male,Mobile App,PayPal,No,Cancelled
94,Digital,Monthly,Yes,4.03,17,3,Yes,0.7,13.85,North America,Politics,0.94,0,Desktop,Manual,Retention Offer,0.16,45,0.75,2023-03-13 05:54:16.425814,2024-03-12 05:54:16.425814,1,60,Male,Web,PayPal,No,Cancelled
95,Digital,Monthly,No,2.25,27,2,Yes,0.79,13.78,Europe,Culture,0.75,3,Desktop,Auto,Retention Offer,0.21,-64,-0.86,2022-10-16 05:54:16.425818,2023-10-16 05:54:16.425818,2,40,Female,Mobile App,Credit Card,No,Cancelled
96,Digital,Monthly,Yes,3.4,27,0,Yes,0.3,14.29,Others,Finance,0.36,1,Mobile,Auto,Retention Offer,0.38,54,0.29,2023-07-19 05:54:16.425822,2024-07-18 05:54:16.425822,1,37,Male,Mobile App,Credit Card,No,Active
97,Digital,Monthly,Yes,3.44,28,1,No,0.5,7.48,Asia,Politics,0.39,1,Mobile,Auto,Newsletter Promo,0.63,-76,-0.39,2022-09-18 05:54:16.425827,2023-09-18 05:54:16.425827,1,36,Male,Web,Credit Card,No,Active
98,Digital+Print,Monthly,Yes,2.65,15,1,No,0.42,8.81,North America,Environment,0.41,2,Desktop,Manual,None,0.09,96,-0.57,2024-07-11 05:54:16.425831,2025-07-11 05:54:16.425831,5,46,Male,Web,PayPal,No,Active
99,Digital+Print,Annual,Yes,1.82,2,0,Yes,0.41,13.08,North America,Politics,0.74,0,Mobile,Auto,Retention Offer,0.17,-18,-0.15,2024-10-01 05:54:16.425835,2025-10-01 05:54:16.425835,5,25,Female,Mobile App,Credit Card,No,Active
100,Digital,Monthly,Yes,1.96,14,1,No,0.23,7.89,North America,Technology,0.81,1,Desktop,Auto,None,0.33,-74,0.65,2023-06-15 05:54:16.425840,2024-06-14 05:54:16.425840,1,46,Female,Mobile App,PayPal,No,Active
101,Digital,Monthly,Yes,1.63,26,2,Yes,0.14,9.98,North America,Politics,0.9,0,Desktop,Manual,Newsletter Promo,0.28,-24,-0.32,2023-06-02 05:54:16.425844,2024-06-01 05:54:16.425844,5,35,Other,Referral,Credit Card,No,Cancelled
102,Digital,Annual,Yes,1.75,26,0,Yes,0.2,11.6,Europe,Politics,0.96,0,Tablet,Auto,None,0.49,81,-0.9,2023-02-08 05:54:16.425848,2024-02-08 05:54:16.425848,5,22,Female,Web,Debit Card,No,Cancelled
103,Digital,Annual,No,2.9,3,1,No,0.06,13.14,Others,Politics,0.44,2,Mobile,Auto,None,0.3,34,-0.47,2023-04-08 05:54:16.425852,2024-04-07 05:54:16.425852,1,29,Male,Mobile App,Credit Card,No,Active
104,Digital+Print,Annual,Yes,1.93,4,0,Yes,0.2,2.89,Others,Politics,0.52,0,Mobile,Auto,None,0.41,-11,0.06,2024-09-30 05:54:16.425856,2025-09-30 05:54:16.425856,4,27,Female,Mobile App,PayPal,No,Active
105,Digital,Annual,Yes,4.02,16,3,Yes,0.01,12.86,Europe,Politics,0.47,1,Desktop,Auto,None,0.5,-74,-0.81,2022-12-06 05:54:16.425860,2023-12-06 05:54:16.425860,5,64,Female,Mobile App,PayPal,No,Active
106,Digital,Monthly,Yes,5.23,6,2,No,0.63,9.07,Asia,Culture,0.55,0,Desktop,Auto,Newsletter Promo,0.35,21,0.36,2023-07-06 05:54:16.425864,2024-07-05 05:54:16.425864,1,54,Female,Mobile App,Credit Card,No,Active
